"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"V1",3,1,4,6,1,2,5,1,8,5
"V2",1,5,3,4,5,4,2,1,6,7
"V3",7,2,4,9,4,3,10,8,2,7
"V4",6,5,2,1,5,6,1,1,5,2
"V5",1,5,7,7,7,10,6,3,4,3
"V6",6,6,9,1,8,9,9,4,1,1
"V7",2,10,5,6,5,6,2,8,2,3
"V8",2,6,1,8,3,9,10,1,8,4
"V9",1,3,6,7,7,1,2,2,4,7
"V10",9,3,7,4,5,4,3,9,3,4
"V11",4,2,3,2,8,8,7,6,9,4
"V12",4,4,3,7,7,3,2,10,6,7
"V13",6,8,6,8,3,10,9,9,7,9
"V14",1,6,3,7,9,6,2,7,8,3
"V15",6,10,9,2,2,10,5,8,9,2
"V16",7,2,5,8,4,3,1,3,8,9
"V17",7,8,10,5,1,8,2,9,9,3
"V18",7,6,4,8,1,4,2,2,2,9
"V19",1,3,7,2,7,2,2,5,5,7
"V20",3,6,1,5,10,6,10,7,8,2
"V21",4,6,7,1,2,7,1,7,9,5
"V22",7,1,3,5,7,3,1,5,10,6
"V23",3,4,9,9,7,2,3,4,1,1
"V24",5,4,1,6,7,6,1,5,7,7
"V25",8,10,10,1,8,8,7,5,8,4
"V26",10,5,6,5,6,9,9,7,5,2
"V27",7,5,6,8,9,4,4,2,7,6
"V28",10,3,1,1,2,4,3,9,9,9
"V29",9,10,1,7,8,8,6,2,4,9
"V30",10,5,5,7,10,6,7,2,2,9
"V31",7,2,10,8,9,6,10,3,10,6
"V32",10,2,5,6,7,3,2,3,4,9
"V33",4,7,8,1,4,4,1,3,1,5
"V34",7,6,10,5,5,1,1,7,1,1
"V35",5,8,7,8,7,8,2,7,8,4
"V36",1,6,6,9,7,10,8,1,3,3
"V37",9,1,4,1,5,7,6,9,6,9
"V38",7,1,2,1,8,10,8,1,10,3
"V39",2,8,8,6,9,3,5,7,1,5
"V40",8,9,8,9,2,1,10,7,5,8
"V41",9,9,5,4,3,4,7,4,10,10
"V42",5,9,10,4,6,6,9,4,7,3
